"Reference","Value","Footprint","Qty"
"C1","470uF25v","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","1"
"C2","2.2nF","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","1"
"C3","100pF","Capacitor_THT:C_Disc_D7.5mm_W4.4mm_P5.00mm","1"
"C4,C5,C6,C8,C9,C10,C11,C12","100nF","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","8"
"C7","10uF 450v","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","1"
"D1","RGP10M","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","1"
"D2,D3","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","2"
"J1","15V","Connector_BarrelJack:BarrelJack_Horizontal","1"
"J2,J4","VT138 socket","Connector_TE-Connectivity:TE_826576-8_1x08_P3.96mm_Vertical","2"
"J3","BF IN","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1"
"L1","100uH","Inductor_THT:L_Toroid_Horizontal_D16.8mm_P14.70mm_Vishay_TJ3_BigPads","1"
"MK1","Microphone","Sensor_Audio:POM-2244P-C3310-2-R","1"
"Q1","IRFBG 30","Package_TO_SOT_THT:TO-220-3_Vertical","1"
"Q2,Q3,Q4","BC547","Package_TO_SOT_THT:TO-92_Inline_Wide","3"
"R1","1K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1"
"R2","10K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1"
"R3","56k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1"
"R4","470","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1"
"R5","220k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1"
"R6,R10","2K2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2"
"R7,R11,R13","1M","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","3"
"R8","56K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1"
"R9","100K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1"
"R12,R15,RV2","10k","-- valori mescolati --","3"
"R14","22 1W","Resistor_THT:R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal","1"
"R16","100k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1"
"RV1","1k","Potentiometer_THT:Potentiometer_Vishay_T73XX_Horizontal","1"
"U1","NE555P","Package_DIP:DIP-8_W7.62mm","1"
"U5","VT138","Valve:Valve_Noval_P","1"
